file,Ball Plate ID and Orientation,Inspector,Inspection Time,Temperature_°C,Pos S0_nominal_x,Pos S0_nominal_y,Pos S0_nominal_z,Pos S0_actual_x,Pos S0_actual_y,Pos S0_actual_z,Pos S0_error_x,Pos S0_error_y,Pos S0_error_z,Pos S1_nominal_x,Pos S1_nominal_y,Pos S1_nominal_z,Pos S1_actual_x,Pos S1_actual_y,Pos S1_actual_z,Pos S1_error_x,Pos S1_error_y,Pos S1_error_z,Pos S2_nominal_x,Pos S2_nominal_y,Pos S2_nominal_z,Pos S2_actual_x,Pos S2_actual_y,Pos S2_actual_z,Pos S2_error_x,Pos S2_error_y,Pos S2_error_z,Pos S3_nominal_x,Pos S3_nominal_y,Pos S3_nominal_z,Pos S3_actual_x,Pos S3_actual_y,Pos S3_actual_z,Pos S3_error_x,Pos S3_error_y,Pos S3_error_z,Pos S4_nominal_x,Pos S4_nominal_y,Pos S4_nominal_z,Pos S4_actual_x,Pos S4_actual_y,Pos S4_actual_z,Pos S4_error_x,Pos S4_error_y,Pos S4_error_z,diameter_D0_nominal,diameter_D0_actual,diameter_D0_error,diameter_D1_nominal,diameter_D1_actual,diameter_D1_error,diameter_D2_nominal,diameter_D2_actual,diameter_D2_error,diameter_D3_nominal,diameter_D3_actual,diameter_D3_error,diameter_D4_nominal,diameter_D4_actual,diameter_D4_error,pointpointdistance_L01_nominal,pointpointdistance_L01_actual,pointpointdistance_L01_error,pointpointdistance_L02_nominal,pointpointdistance_L02_actual,pointpointdistance_L02_error,pointpointdistance_L03_nominal,pointpointdistance_L03_actual,pointpointdistance_L03_error,pointpointdistance_L04_nominal,pointpointdistance_L04_actual,pointpointdistance_L04_error,pointpointdistance_L14_nominal,pointpointdistance_L14_actual,pointpointdistance_L14_error,pointpointdistance_L23_nominal,pointpointdistance_L23_actual,pointpointdistance_L23_error,pointpointdistance_L12_nominal,pointpointdistance_L12_actual,pointpointdistance_L12_error,pointpointdistance_L34_nominal,pointpointdistance_L34_actual,pointpointdistance_L34_error,pointpointdistance_L13_nominal,pointpointdistance_L13_actual,pointpointdistance_L13_error,pointpointdistance_L24_nominal,pointpointdistance_L24_actual,pointpointdistance_L24_error
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20210305T010130.csv,P509-east,Larry,20210305T1257,19.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4845,37.5153,0.0770,-0.0155,0.0153,0.0770,-63.5000,37.5000,0.0000,-63.4513,37.5153,0.0701,0.0487,0.0153,0.0701,-62.5000,-36.5000,0.0000,-62.4822,-36.4613,0.0771,0.0178,0.0387,0.0771,61.5000,-37.5000,0.0000,61.4422,-37.4656,0.0705,-0.0578,0.0344,0.0705,25.4000,25.3998,-0.0002,25.4000,25.4029,0.0029,25.4000,25.4039,0.0039,25.4000,25.4048,0.0048,25.4000,25.4024,0.0024,72.8870,72.8815,-0.0055,73.7460,73.7120,-0.0340,72.3770,72.3426,-0.0344,72.0310,71.9640,-0.0670,75.0070,74.9881,-0.0189,74.0070,73.9829,-0.0241,126.0000,125.9357,-0.0643,124.0040,123.9284,-0.0756,145.2620,145.2212,-0.0408,145.7740,145.6726,-0.1014
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20210305T015628.csv,P509-east,Larry,20210305T1352,19.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4828,37.5151,0.0771,-0.0172,0.0151,0.0771,-63.5000,37.5000,0.0000,-63.4519,37.5151,0.0707,0.0481,0.0151,0.0707,-62.5000,-36.5000,0.0000,-62.4825,-36.4613,0.0772,0.0175,0.0387,0.0772,61.5000,-37.5000,0.0000,61.4416,-37.4654,0.0711,-0.0584,0.0346,0.0711,25.4000,25.3995,-0.0005,25.4000,25.4028,0.0028,25.4000,25.4029,0.0029,25.4000,25.4046,0.0046,25.4000,25.4029,0.0029,72.8870,72.8800,-0.0070,73.7460,73.7125,-0.0335,72.3770,72.3429,-0.0341,72.0310,71.9634,-0.0676,75.0070,74.9878,-0.0192,74.0070,73.9828,-0.0242,126.0000,125.9346,-0.0654,124.0040,123.9281,-0.0759,145.2620,145.2199,-0.0421,145.7740,145.6724,-0.1016
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20210305T023956.csv,P509-east,Larry,20210305T1436,19.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4838,37.5152,0.0773,-0.0162,0.0152,0.0773,-63.5000,37.5000,0.0000,-63.4514,37.5152,0.0707,0.0486,0.0152,0.0707,-62.5000,-36.5000,0.0000,-62.4817,-36.4615,0.0774,0.0183,0.0385,0.0774,61.5000,-37.5000,0.0000,61.4424,-37.4658,0.0712,-0.0576,0.0342,0.0712,25.4000,25.3998,-0.0002,25.4000,25.4033,0.0033,25.4000,25.4032,0.0032,25.4000,25.4040,0.0040,25.4000,25.4029,0.0029,72.8870,72.8809,-0.0061,73.7460,73.7121,-0.0339,72.3770,72.3423,-0.0347,72.0310,71.9643,-0.0667,75.0070,74.9882,-0.0188,74.0070,73.9831,-0.0239,126.0000,125.9353,-0.0647,124.0040,123.9282,-0.0758,145.2620,145.2203,-0.0417,145.7740,145.6730,-0.1010
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20210305T010456.csv,P509-east,Larry,20210305T1301,19.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4842,37.5157,0.0766,-0.0158,0.0157,0.0766,-63.5000,37.5000,0.0000,-63.4508,37.5157,0.0707,0.0492,0.0157,0.0707,-62.5000,-36.5000,0.0000,-62.4815,-36.4620,0.0767,0.0185,0.0380,0.0767,61.5000,-37.5000,0.0000,61.4426,-37.4657,0.0711,-0.0574,0.0343,0.0711,25.4000,25.3993,-0.0007,25.4000,25.4025,0.0025,25.4000,25.4030,0.0030,25.4000,25.4045,0.0045,25.4000,25.4024,0.0024,72.8870,72.8814,-0.0056,73.7460,73.7118,-0.0342,72.3770,72.3424,-0.0346,72.0310,71.9644,-0.0666,75.0070,74.9886,-0.0184,74.0070,73.9840,-0.0230,126.0000,125.9350,-0.0650,124.0040,123.9282,-0.0758,145.2620,145.2209,-0.0411,145.7740,145.6728,-0.1012
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20210305T015954.csv,P509-east,Larry,20210305T1356,19.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4831,37.5147,0.0775,-0.0169,0.0147,0.0775,-63.5000,37.5000,0.0000,-63.4523,37.5147,0.0700,0.0477,0.0147,0.0700,-62.5000,-36.5000,0.0000,-62.4826,-36.4617,0.0775,0.0174,0.0383,0.0775,61.5000,-37.5000,0.0000,61.4421,-37.4663,0.0704,-0.0579,0.0337,0.0704,25.4000,25.3988,-0.0012,25.4000,25.4024,0.0024,25.4000,25.4039,0.0039,25.4000,25.4045,0.0045,25.4000,25.4022,0.0022,72.8870,72.8800,-0.0070,73.7460,73.7126,-0.0334,72.3770,72.3432,-0.0338,72.0310,71.9643,-0.0667,75.0070,74.9882,-0.0188,74.0070,73.9827,-0.0243,126.0000,125.9354,-0.0646,124.0040,123.9288,-0.0752,145.2620,145.2203,-0.0417,145.7740,145.6735,-0.1005
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20210305T024321.csv,P509-east,Larry,20210305T1439,19.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4840,37.5152,0.0774,-0.0160,0.0152,0.0774,-63.5000,37.5000,0.0000,-63.4512,37.5152,0.0708,0.0488,0.0152,0.0708,-62.5000,-36.5000,0.0000,-62.4824,-36.4627,0.0775,0.0176,0.0373,0.0775,61.5000,-37.5000,0.0000,61.4427,-37.4656,0.0712,-0.0573,0.0344,0.0712,25.4000,25.3996,-0.0004,25.4000,25.4031,0.0031,25.4000,25.4033,0.0033,25.4000,25.4041,0.0041,25.4000,25.4023,0.0023,72.8870,72.8810,-0.0060,73.7460,73.7120,-0.0340,72.3770,72.3435,-0.0335,72.0310,71.9645,-0.0665,75.0070,74.9880,-0.0190,74.0070,73.9842,-0.0228,126.0000,125.9352,-0.0648,124.0040,123.9292,-0.0748,145.2620,145.2216,-0.0404,145.7740,145.6730,-0.1010
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20210305T010822.csv,P509-east,Larry,20210305T1304,19.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4842,37.5153,0.0777,-0.0158,0.0153,0.0777,-63.5000,37.5000,0.0000,-63.4508,37.5153,0.0714,0.0492,0.0153,0.0714,-62.5000,-36.5000,0.0000,-62.4823,-36.4618,0.0777,0.0177,0.0382,0.0777,61.5000,-37.5000,0.0000,61.4429,-37.4655,0.0718,-0.0571,0.0345,0.0718,25.4000,25.3999,-0.0001,25.4000,25.4029,0.0029,25.4000,25.4028,0.0028,25.4000,25.4051,0.0051,25.4000,25.4022,0.0022,72.8870,72.8812,-0.0058,73.7460,73.7116,-0.0344,72.3770,72.3429,-0.0341,72.0310,71.9646,-0.0664,75.0070,74.9880,-0.0190,74.0070,73.9834,-0.0236,126.0000,125.9350,-0.0650,124.0040,123.9293,-0.0747,145.2620,145.2213,-0.0407,145.7740,145.6728,-0.1012
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20210305T020319.csv,P509-east,Larry,20210305T1359,19.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4835,37.5146,0.0765,-0.0165,0.0146,0.0765,-63.5000,37.5000,0.0000,-63.4521,37.5146,0.0700,0.0479,0.0146,0.0700,-62.5000,-36.5000,0.0000,-62.4825,-36.4619,0.0765,0.0175,0.0381,0.0765,61.5000,-37.5000,0.0000,61.4422,-37.4663,0.0704,-0.0578,0.0337,0.0704,25.4000,25.3986,-0.0014,25.4000,25.4028,0.0028,25.4000,25.4032,0.0032,25.4000,25.4045,0.0045,25.4000,25.4027,0.0027,72.8870,72.8803,-0.0067,73.7460,73.7124,-0.0336,72.3770,72.3432,-0.0338,72.0310,71.9643,-0.0667,75.0070,74.9881,-0.0189,74.0070,73.9829,-0.0241,126.0000,125.9356,-0.0644,124.0040,123.9287,-0.0753,145.2620,145.2206,-0.0414,145.7740,145.6733,-0.1007
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20210305T024647.csv,P509-east,Larry,20210305T1443,19.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4843,37.5147,0.0776,-0.0157,0.0147,0.0776,-63.5000,37.5000,0.0000,-63.4519,37.5147,0.0710,0.0481,0.0147,0.0710,-62.5000,-36.5000,0.0000,-62.4828,-36.4624,0.0777,0.0172,0.0376,0.0777,61.5000,-37.5000,0.0000,61.4425,-37.4660,0.0714,-0.0575,0.0340,0.0714,25.4000,25.3996,-0.0004,25.4000,25.4028,0.0028,25.4000,25.4034,0.0034,25.4000,25.4048,0.0048,25.4000,25.4021,0.0021,72.8870,72.8810,-0.0060,73.7460,73.7123,-0.0337,72.3770,72.3437,-0.0333,72.0310,71.9645,-0.0665,75.0070,74.9880,-0.0190,74.0070,73.9835,-0.0235,126.0000,125.9362,-0.0638,124.0040,123.9294,-0.0746,145.2620,145.2219,-0.0401,145.7740,145.6734,-0.1006
C:\Users\pantojma\Documents\Github\ArtifactTest\cmm-csv-files\P509\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20210305T011148.csv,P509-east,Larry,20210305T1308,19.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4841,37.5151,0.0776,-0.0159,0.0151,0.0776,-63.5000,37.5000,0.0000,-63.4516,37.5151,0.0709,0.0484,0.0151,0.0709,-62.5000,-36.5000,0.0000,-62.4823,-36.4616,0.0777,0.0177,0.0384,0.0777,61.5000,-37.5000,0.0000,61.4419,-37.4662,0.0713,-0.0581,0.0338,0.0713,25.4000,25.3998,-0.0002,25.4000,25.4021,0.0021,25.4000,25.4033,0.0033,25.4000,25.4046,0.0046,25.4000,25.4023,0.0023,72.8870,72.8810,-0.0060,73.7460,73.7123,-0.0337,72.3770,72.3429,-0.0341,72.0310,71.9641,-0.0669,75.0070,74.9885,-0.0185,74.0070,73.9831,-0.0239,126.0000,125.9357,-0.0643,124.0040,123.9283,-0.0757,145.2620,145.2210,-0.0410,145.7740,145.6729,-0.1011
