file,Ball Plate ID and Orientation,Inspector,Inspection Time,Temperature_°C,Pos S0_nominal_x,Pos S0_nominal_y,Pos S0_nominal_z,Pos S0_actual_x,Pos S0_actual_y,Pos S0_actual_z,Pos S0_error_x,Pos S0_error_y,Pos S0_error_z,Pos S1_nominal_x,Pos S1_nominal_y,Pos S1_nominal_z,Pos S1_actual_x,Pos S1_actual_y,Pos S1_actual_z,Pos S1_error_x,Pos S1_error_y,Pos S1_error_z,Pos S2_nominal_x,Pos S2_nominal_y,Pos S2_nominal_z,Pos S2_actual_x,Pos S2_actual_y,Pos S2_actual_z,Pos S2_error_x,Pos S2_error_y,Pos S2_error_z,Pos S3_nominal_x,Pos S3_nominal_y,Pos S3_nominal_z,Pos S3_actual_x,Pos S3_actual_y,Pos S3_actual_z,Pos S3_error_x,Pos S3_error_y,Pos S3_error_z,Pos S4_nominal_x,Pos S4_nominal_y,Pos S4_nominal_z,Pos S4_actual_x,Pos S4_actual_y,Pos S4_actual_z,Pos S4_error_x,Pos S4_error_y,Pos S4_error_z,diameter_D0_nominal,diameter_D0_actual,diameter_D0_error,diameter_D1_nominal,diameter_D1_actual,diameter_D1_error,diameter_D2_nominal,diameter_D2_actual,diameter_D2_error,diameter_D3_nominal,diameter_D3_actual,diameter_D3_error,diameter_D4_nominal,diameter_D4_actual,diameter_D4_error,pointpointdistance_L01_nominal,pointpointdistance_L01_actual,pointpointdistance_L01_error,pointpointdistance_L02_nominal,pointpointdistance_L02_actual,pointpointdistance_L02_error,pointpointdistance_L03_nominal,pointpointdistance_L03_actual,pointpointdistance_L03_error,pointpointdistance_L04_nominal,pointpointdistance_L04_actual,pointpointdistance_L04_error,pointpointdistance_L14_nominal,pointpointdistance_L14_actual,pointpointdistance_L14_error,pointpointdistance_L23_nominal,pointpointdistance_L23_actual,pointpointdistance_L23_error,pointpointdistance_L12_nominal,pointpointdistance_L12_actual,pointpointdistance_L12_error,pointpointdistance_L34_nominal,pointpointdistance_L34_actual,pointpointdistance_L34_error,pointpointdistance_L13_nominal,pointpointdistance_L13_actual,pointpointdistance_L13_error,pointpointdistance_L24_nominal,pointpointdistance_L24_actual,pointpointdistance_L24_error
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20210121T031147.csv,P509-east,Larry,20210121T1508,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4795,37.5167,0.0880,-0.0205,0.0167,0.0880,-63.5000,37.5000,0.0000,-63.4514,37.5167,0.0711,0.0486,0.0167,0.0711,-62.5000,-36.5000,0.0000,-62.4783,-36.4619,0.0883,0.0217,0.0381,0.0883,61.5000,-37.5000,0.0000,61.4411,-37.4655,0.0715,-0.0589,0.0345,0.0715,25.4000,25.3979,-0.0021,25.4000,25.4018,0.0018,25.4000,25.4008,0.0008,25.4000,25.4032,0.0032,25.4000,25.4015,0.0015,72.8870,72.8780,-0.0090,73.7460,73.7129,-0.0331,72.3770,72.3395,-0.0375,72.0310,71.9630,-0.0680,75.0070,74.9894,-0.0176,74.0070,73.9850,-0.0220,126.0000,125.9309,-0.0691,124.0040,123.9234,-0.0806,145.2620,145.2146,-0.0474,145.7740,145.6725,-0.1015
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20210121T040544.csv,P509-east,Larry,20210121T1602,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4792,37.5168,0.0884,-0.0208,0.0168,0.0884,-63.5000,37.5000,0.0000,-63.4519,37.5168,0.0723,0.0481,0.0168,0.0723,-62.5000,-36.5000,0.0000,-62.4785,-36.4614,0.0886,0.0215,0.0386,0.0886,61.5000,-37.5000,0.0000,61.4401,-37.4657,0.0728,-0.0599,0.0343,0.0728,25.4000,25.3975,-0.0025,25.4000,25.4019,0.0019,25.4000,25.4018,0.0018,25.4000,25.4033,0.0033,25.4000,25.4006,0.0006,72.8870,72.8778,-0.0092,73.7460,73.7133,-0.0327,72.3770,72.3395,-0.0375,72.0310,71.9623,-0.0687,75.0070,74.9897,-0.0173,74.0070,73.9845,-0.0225,126.0000,125.9311,-0.0689,124.0040,123.9227,-0.0813,145.2620,145.2144,-0.0476,145.7740,145.6722,-0.1018
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20210121T031512.csv,P509-east,Larry,20210121T1511,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4811,37.5172,0.0878,-0.0189,0.0172,0.0878,-63.5000,37.5000,0.0000,-63.4506,37.5172,0.0714,0.0494,0.0172,0.0714,-62.5000,-36.5000,0.0000,-62.4775,-36.4611,0.0880,0.0225,0.0389,0.0880,61.5000,-37.5000,0.0000,61.4411,-37.4661,0.0719,-0.0589,0.0339,0.0719,25.4000,25.3979,-0.0021,25.4000,25.4017,0.0017,25.4000,25.4012,0.0012,25.4000,25.4028,0.0028,25.4000,25.4016,0.0016,72.8870,72.8796,-0.0074,73.7460,73.7125,-0.0335,72.3770,72.3385,-0.0385,72.0310,71.9633,-0.0677,75.0070,74.9905,-0.0165,74.0070,73.9847,-0.0223,126.0000,125.9317,-0.0683,124.0040,123.9226,-0.0814,145.2620,145.2151,-0.0469,145.7740,145.6724,-0.1016
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20210121T040909.csv,P509-east,Larry,20210121T1605,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4802,37.5170,0.0879,-0.0198,0.0170,0.0879,-63.5000,37.5000,0.0000,-63.4509,37.5170,0.0710,0.0491,0.0170,0.0710,-62.5000,-36.5000,0.0000,-62.4785,-36.4619,0.0882,0.0215,0.0381,0.0882,61.5000,-37.5000,0.0000,61.4402,-37.4657,0.0714,-0.0598,0.0343,0.0714,25.4000,25.3978,-0.0022,25.4000,25.4019,0.0019,25.4000,25.4021,0.0021,25.4000,25.4034,0.0034,25.4000,25.4015,0.0015,72.8870,72.8787,-0.0083,73.7460,73.7126,-0.0334,72.3770,72.3397,-0.0373,72.0310,71.9624,-0.0686,75.0070,74.9899,-0.0171,74.0070,73.9852,-0.0218,126.0000,125.9311,-0.0689,124.0040,123.9228,-0.0812,145.2620,145.2155,-0.0465,145.7740,145.6715,-0.1025
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20210121T031837.csv,P509-east,Larry,20210121T1515,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4803,37.5166,0.0884,-0.0197,0.0166,0.0884,-63.5000,37.5000,0.0000,-63.4514,37.5166,0.0720,0.0486,0.0166,0.0720,-62.5000,-36.5000,0.0000,-62.4781,-36.4617,0.0887,0.0219,0.0383,0.0887,61.5000,-37.5000,0.0000,61.4408,-37.4658,0.0724,-0.0592,0.0342,0.0724,25.4000,25.3983,-0.0017,25.4000,25.4019,0.0019,25.4000,25.4014,0.0014,25.4000,25.4031,0.0031,25.4000,25.4020,0.0020,72.8870,72.8786,-0.0084,73.7460,73.7128,-0.0332,72.3770,72.3393,-0.0377,72.0310,71.9629,-0.0681,75.0070,74.9896,-0.0174,74.0070,73.9847,-0.0223,126.0000,125.9317,-0.0683,124.0040,123.9230,-0.0810,145.2620,145.2150,-0.0470,145.7740,145.6722,-0.1018
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20210121T041234.csv,P509-east,Larry,20210121T1609,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4795,37.5167,0.0884,-0.0205,0.0167,0.0884,-63.5000,37.5000,0.0000,-63.4515,37.5167,0.0723,0.0485,0.0167,0.0723,-62.5000,-36.5000,0.0000,-62.4784,-36.4617,0.0886,0.0216,0.0383,0.0886,61.5000,-37.5000,0.0000,61.4398,-37.4656,0.0727,-0.0602,0.0344,0.0727,25.4000,25.3976,-0.0024,25.4000,25.4015,0.0015,25.4000,25.4011,0.0011,25.4000,25.4031,0.0031,25.4000,25.4010,0.0010,72.8870,72.8780,-0.0090,73.7460,73.7130,-0.0330,72.3770,72.3396,-0.0374,72.0310,71.9620,-0.0690,75.0070,74.9896,-0.0174,74.0070,73.9848,-0.0222,126.0000,125.9310,-0.0690,124.0040,123.9223,-0.0817,145.2620,145.2147,-0.0473,145.7740,145.6715,-0.1025
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20210121T032202.csv,P509-east,Larry,20210121T1518,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4806,37.5169,0.0880,-0.0194,0.0169,0.0880,-63.5000,37.5000,0.0000,-63.4509,37.5169,0.0716,0.0491,0.0169,0.0716,-62.5000,-36.5000,0.0000,-62.4788,-36.4617,0.0882,0.0212,0.0383,0.0882,61.5000,-37.5000,0.0000,61.4408,-37.4656,0.0721,-0.0592,0.0344,0.0721,25.4000,25.3980,-0.0020,25.4000,25.4018,0.0018,25.4000,25.4010,0.0010,25.4000,25.4028,0.0028,25.4000,25.4016,0.0016,72.8870,72.8790,-0.0080,73.7460,73.7125,-0.0335,72.3770,72.3399,-0.0371,72.0310,71.9628,-0.0682,75.0070,74.9897,-0.0173,74.0070,73.9849,-0.0221,126.0000,125.9315,-0.0685,124.0040,123.9237,-0.0803,145.2620,145.2160,-0.0460,145.7740,145.6719,-0.1021
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20210121T041559.csv,P509-east,Larry,20210121T1612,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4800,37.5168,0.0877,-0.0200,0.0168,0.0877,-63.5000,37.5000,0.0000,-63.4507,37.5168,0.0713,0.0493,0.0168,0.0713,-62.5000,-36.5000,0.0000,-62.4791,-36.4616,0.0879,0.0209,0.0384,0.0879,61.5000,-37.5000,0.0000,61.4401,-37.4664,0.0717,-0.0599,0.0336,0.0717,25.4000,25.3981,-0.0019,25.4000,25.4019,0.0019,25.4000,25.4023,0.0023,25.4000,25.4037,0.0037,25.4000,25.4009,0.0009,72.8870,72.8784,-0.0086,73.7460,73.7123,-0.0337,72.3770,72.3401,-0.0369,72.0310,71.9626,-0.0684,75.0070,74.9904,-0.0166,74.0070,73.9848,-0.0222,126.0000,125.9307,-0.0693,124.0040,123.9233,-0.0807,145.2620,145.2156,-0.0464,145.7740,145.6715,-0.1025
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_5-20210121T032527.csv,P509-east,Larry,20210121T1522,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4807,37.5167,0.0884,-0.0193,0.0167,0.0884,-63.5000,37.5000,0.0000,-63.4518,37.5167,0.0721,0.0482,0.0167,0.0721,-62.5000,-36.5000,0.0000,-62.4783,-36.4616,0.0886,0.0217,0.0384,0.0886,61.5000,-37.5000,0.0000,61.4409,-37.4654,0.0726,-0.0591,0.0346,0.0726,25.4000,25.3981,-0.0019,25.4000,25.4014,0.0014,25.4000,25.4007,0.0007,25.4000,25.4032,0.0032,25.4000,25.4011,0.0011,72.8870,72.8790,-0.0080,73.7460,73.7133,-0.0327,72.3770,72.3394,-0.0376,72.0310,71.9628,-0.0682,75.0070,74.9894,-0.0176,74.0070,73.9847,-0.0223,126.0000,125.9325,-0.0675,124.0040,123.9232,-0.0808,145.2620,145.2155,-0.0465,145.7740,145.6726,-0.1014
cmm-csv-files\P509_no_backer\reports\BallPlateGen5_Fixture_P509-east-DC-1_5-20210121T041923.csv,P509-east,Larry,20210121T1615,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4796,37.5165,0.0883,-0.0204,0.0165,0.0883,-63.5000,37.5000,0.0000,-63.4514,37.5165,0.0721,0.0486,0.0165,0.0721,-62.5000,-36.5000,0.0000,-62.4784,-36.4619,0.0885,0.0216,0.0381,0.0885,61.5000,-37.5000,0.0000,61.4399,-37.4660,0.0726,-0.0601,0.0340,0.0726,25.4000,25.3980,-0.0020,25.4000,25.4018,0.0018,25.4000,25.4023,0.0023,25.4000,25.4033,0.0033,25.4000,25.4016,0.0016,72.8870,72.8780,-0.0090,73.7460,73.7128,-0.0332,72.3770,72.3397,-0.0373,72.0310,71.9622,-0.0688,75.0070,74.9897,-0.0173,74.0070,73.9849,-0.0221,126.0000,125.9310,-0.0690,124.0040,123.9224,-0.0816,145.2620,145.2148,-0.0472,145.7740,145.6716,-0.1024
